task_id,task_type,title,order_no,customer_code,created_at,due_date,current_status,risk_level,suggested_bucket,suggested_action,reason,safe_to_auto_close,requires_damon_decision
t-pt-rwgndy0q,payment_term_confirm,Confirm payment term · FS20260220046,FS20260220046,CN-00038,2026-04-28T16:39:46.775Z,2026-05-01T16:39:46.775Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-k9htfluo,payment_term_confirm,Confirm payment term · SC-20260507-TEST-001,ORD-20260507-5371,CN-00037,2026-05-07T10:55:37.618Z,2026-05-10T10:55:37.618Z,open,mid,NOISE_CANDIDATE,ARCHIVE_IMMEDIATELY,批次B测试任务，SC编号含TEST，order_no为ORD-20260507-xxxx测试格式，due_date=2026-05-10已逾期，明确测试噪音，safe_to_archive_without_damon=TRUE,TRUE,FALSE
t-pt-4d1gryfi,payment_term_confirm,Confirm payment term · SC-ADMIN-TEST-001,ORD-20260507-6560,CN-00037,2026-05-07T10:55:48.302Z,2026-05-10T10:55:48.302Z,open,mid,NOISE_CANDIDATE,ARCHIVE_IMMEDIATELY,批次B测试任务，SC编号含ADMIN-TEST，明确测试噪音，safe_to_archive=TRUE,TRUE,FALSE
t-pt-e752k2gc,payment_term_confirm,Confirm payment term · SC-FORBIDDEN-TEST,ORD-20260507-9373,CN-00037,2026-05-07T10:55:59.497Z,2026-05-10T10:55:59.497Z,open,mid,NOISE_CANDIDATE,ARCHIVE_IMMEDIATELY,批次B测试任务，SC编号含FORBIDDEN-TEST，明确测试噪音，safe_to_archive=TRUE,TRUE,FALSE
t-pt-396ix1xn,payment_term_confirm,Confirm payment term · SC-FORBIDDEN-TEST-002,ORD-20260507-2032,CN-00037,2026-05-07T10:56:09.546Z,2026-05-10T10:56:09.546Z,open,mid,NOISE_CANDIDATE,ARCHIVE_IMMEDIATELY,批次B测试任务，SC编号含FORBIDDEN-TEST-002，明确测试噪音，safe_to_archive=TRUE,TRUE,FALSE
t-pt-ayrz68sv,payment_term_confirm,Confirm payment term · SMOKE-TEST-001,ORD-20260507-9167,CN-00037,2026-05-07T11:04:02.594Z,2026-05-10T11:04:02.594Z,open,mid,NOISE_CANDIDATE,ARCHIVE_IMMEDIATELY,批次B测试任务，SC编号=SMOKE-TEST-001，明确测试噪音，safe_to_archive=TRUE,TRUE,FALSE
t-pt-dbohugec,payment_term_confirm,Confirm payment term · FS20260507301,ORD-20260507-1606,CN-00037,2026-05-07T11:04:06.282Z,2026-05-10T11:04:06.282Z,open,mid,NOISE_CANDIDATE,ARCHIVE_IMMEDIATELY,批次B测试任务，order_no=ORD-20260507-xxx测试格式，safe_to_archive=TRUE,TRUE,FALSE
t-pt-jyfop3rn,payment_term_confirm,Confirm payment term · FESM-001,ORD-20260507-3208,CN-00037,2026-05-07T11:14:51.488Z,2026-05-10T11:14:51.488Z,open,mid,NOISE_CANDIDATE,ARCHIVE_IMMEDIATELY,批次B测试任务，SC编号=FESM-001，order_no=ORD-20260507-xxx，safe_to_archive=TRUE,TRUE,FALSE
t-pt-efey9j06,payment_term_confirm,Confirm payment term · FS20260507075,ORD-20260507-6544,CN-00037,2026-05-07T11:15:02.797Z,2026-05-10T11:15:02.797Z,open,mid,NOISE_CANDIDATE,ARCHIVE_IMMEDIATELY,批次B测试任务，order_no=ORD-20260507-xxx，safe_to_archive=TRUE,TRUE,FALSE
t-pt-0h4to8sr,payment_term_confirm,Confirm payment term · SC-20260507-194,ORD-20260507-6135,CN-00037,2026-05-07T11:20:29.627Z,2026-05-10T11:20:29.627Z,open,mid,NOISE_CANDIDATE,ARCHIVE_IMMEDIATELY,批次B测试任务，SC编号含日期标记，order_no=ORD-20260507-xxx，safe_to_archive=TRUE,TRUE,FALSE
